Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Marcus Wells (10129),Marcus Wells,10129,QB,5000,SEA@ATL 2026-09-21T00:20:00Z,SEA,9.3
RB,Devon Coleman (10130),Devon Coleman,10130,RB,6400,SEA@ATL 2026-09-21T00:20:00Z,SEA,14.7
RB,Jalen Foster (10131),Jalen Foster,10131,RB,4300,SEA@ATL 2026-09-21T00:20:00Z,SEA,6.7
WR,Marcus Ellis (10132),Marcus Ellis,10132,WR,4800,SEA@ATL 2026-09-21T00:20:00Z,SEA,8.5
WR,Xavier Bowers (10133),Xavier Bowers,10133,WR,4400,SEA@ATL 2026-09-21T00:20:00Z,SEA,7.0
WR,Bijan Lang (10134),Bijan Lang,10134,WR,4000,SEA@ATL 2026-09-21T00:20:00Z,SEA,5.3
TE,Marcus Pierce (10135),Marcus Pierce,10135,TE,4100,SEA@ATL 2026-09-21T00:20:00Z,SEA,5.8
QB,Elijah Wells (10136),Elijah Wells,10136,QB,5400,SEA@ATL 2026-09-21T00:20:00Z,ATL,10.7
RB,Marcus Mitchell (10137),Marcus Mitchell,10137,RB,6700,SEA@ATL 2026-09-21T00:20:00Z,ATL,15.8
RB,Jalen Bowers (10138),Jalen Bowers,10138,RB,4600,SEA@ATL 2026-09-21T00:20:00Z,ATL,7.8
WR,Devon Carter (10139),Devon Carter,10139,WR,5500,SEA@ATL 2026-09-21T00:20:00Z,ATL,11.1
WR,Amari Rhodes (10140),Amari Rhodes,10140,WR,4900,SEA@ATL 2026-09-21T00:20:00Z,ATL,8.8
WR,Rome Dawson (10141),Rome Dawson,10141,WR,4200,SEA@ATL 2026-09-21T00:20:00Z,ATL,6.3
TE,Xavier Coleman (10142),Xavier Coleman,10142,TE,4500,SEA@ATL 2026-09-21T00:20:00Z,ATL,7.4
DST,Atlanta Falcons (10143),Atlanta Falcons,10143,DST,2300,SEA@ATL 2026-09-21T00:20:00Z,ATL,7.0
DST,Seattle Seahawks (10144),Seattle Seahawks,10144,DST,3600,SEA@ATL 2026-09-21T00:20:00Z,SEA,7.0
QB,Xavier Reeves (10145),Xavier Reeves,10145,QB,5400,HOU@IND 2026-09-22T00:15:00Z,HOU,10.8
RB,Brandon Sutton (10146),Brandon Sutton,10146,RB,6100,HOU@IND 2026-09-22T00:15:00Z,HOU,13.5
RB,Xavier Keene (10147),Xavier Keene,10147,RB,4500,HOU@IND 2026-09-22T00:15:00Z,HOU,7.3
WR,Jaxon Vance (10148),Jaxon Vance,10148,WR,5400,HOU@IND 2026-09-22T00:15:00Z,HOU,10.8
WR,Jalen Sutton (10149),Jalen Sutton,10149,WR,4700,HOU@IND 2026-09-22T00:15:00Z,HOU,8.0
WR,Garrett Ellis (10150),Garrett Ellis,10150,WR,4300,HOU@IND 2026-09-22T00:15:00Z,HOU,6.5
TE,Garrett Hayes (10151),Garrett Hayes,10151,TE,4400,HOU@IND 2026-09-22T00:15:00Z,HOU,7.0
QB,Elijah Bryant (10152),Elijah Bryant,10152,QB,4900,HOU@IND 2026-09-22T00:15:00Z,IND,8.7
RB,Rome Grant (10153),Rome Grant,10153,RB,6000,HOU@IND 2026-09-22T00:15:00Z,IND,12.9
RB,Malik Rhodes (10154),Malik Rhodes,10154,RB,3900,HOU@IND 2026-09-22T00:15:00Z,IND,5.2
WR,Elijah Sutton (10155),Elijah Sutton,10155,WR,5000,HOU@IND 2026-09-22T00:15:00Z,IND,9.1
WR,Tyler Dawson (10156),Tyler Dawson,10156,WR,4500,HOU@IND 2026-09-22T00:15:00Z,IND,7.3
WR,Rome Lang (10157),Rome Lang,10157,WR,4000,HOU@IND 2026-09-22T00:15:00Z,IND,5.4
TE,Bijan Wells (10158),Bijan Wells,10158,TE,4200,HOU@IND 2026-09-22T00:15:00Z,IND,6.2
DST,Indianapolis Colts (10159),Indianapolis Colts,10159,DST,3400,HOU@IND 2026-09-22T00:15:00Z,IND,7.0
DST,Houston Texans (10160),Houston Texans,10160,DST,2300,HOU@IND 2026-09-22T00:15:00Z,HOU,7.0
